,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
368,Jingdezhen,CN,29.2947,117.2079,66.54,96,100,3.0,66.54
369,Okato,NZ,-39.2,173.8833,62.91,63,2,3.96,62.91
370,Namatanai,PG,-3.6667,152.4333,84.99,69,86,7.76,84.99
371,Kouango,CF,4.9934,19.9619,71.49,97,87,2.86,71.49
372,Derzhavīnsk,KZ,51.1,66.3167,49.05,56,18,5.91,49.05
373,Acapulco de Juárez,MX,16.8634,-99.8901,85.73,61,6,6.53,85.73
374,Lárdos,GR,36.0942,28.0157,62.42,85,0,11.1,62.42
375,Port Hardy,CA,50.6996,-127.4199,48.38,76,100,19.57,48.38
376,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,75.58
377,Grand Gaube,MU,-20.0064,57.6608,74.37,86,22,6.44,75.6
378,Point Fortin,TT,10.1833,-61.6833,77.86,71,20,16.8,80.85
379,Samarai,PG,-10.6167,150.6667,84.83,73,100,6.87,84.83
380,Trincomalee,LK,8.5711,81.2335,81.81,80,84,21.16,81.81
381,Ketchikan,US,55.3422,-131.6461,46.38,89,100,3.8,46.38
382,Puerto del Rosario,ES,28.5004,-13.8627,69.55,78,0,16.11,69.55
383,Chatrapur,IN,19.35,84.9833,81.46,84,35,7.16,81.46
384,Port Macquarie,AU,-31.4333,152.9167,66.09,94,75,16.11,66.88
385,Tazovsky,RU,67.4667,78.7,26.8,93,63,3.98,26.8
386,Ouadda,CF,8.0777,22.4007,71.06,88,100,4.12,71.06
387,Saint-Pierre,RE,-21.3393,55.4781,71.04,88,75,4.61,72.91
388,Vera Cruz,BR,-12.6333,-41.0333,69.37,76,65,4.92,69.37
389,Naifaru,MV,5.4444,73.3657,83.3,76,88,15.97,83.3
390,Pilar,BR,-9.5972,-35.9567,73.33,91,15,0.87,73.33
391,Yerbogachën,RU,61.2767,108.0108,47.05,77,90,9.17,47.05
392,Deniliquin,AU,-35.5333,144.9667,57.13,95,100,9.48,57.13
393,Tibú,CO,8.639,-72.7358,75.16,97,99,0.94,75.16
394,Sabha,LY,27.0377,14.4283,64.81,57,0,21.25,64.81
395,Antalaha,MG,-14.9003,50.2788,72.54,91,10,4.65,72.54
396,Kumo,NG,10.0447,11.2122,84.36,53,29,16.28,84.36
397,Bonavista,CA,48.6499,-53.1147,44.92,65,18,19.46,44.92
398,Granard,IE,53.7667,-7.5,40.53,96,23,7.18,40.53
399,Oyama,JP,36.3,139.8,68.59,64,100,3.69,68.59
400,Otradnoye,RU,59.7775,30.8181,45.64,97,100,3.04,47.97
401,Vila Franca do Campo,PT,37.7167,-25.4333,59.2,77,85,10.51,59.41
402,Khātra,IN,22.9833,86.85,81.01,74,77,9.62,81.01
403,Enshi,CN,30.3,109.4833,65.3,94,99,1.32,65.3
404,Fortuna,US,40.5982,-124.1573,56.55,65,100,13.8,58.93
405,Loa Janan,ID,-0.583,117.095,81.07,79,80,1.74,81.07
406,Kanigoro,ID,-8.13,112.219,77.58,88,100,2.08,77.58
407,Pascagoula,US,30.3658,-88.5561,79.83,63,0,8.01,84.42
408,Vila Velha,BR,-20.3297,-40.2925,75.15,83,0,11.5,75.15
409,Camacha,PT,33.0833,-16.3333,62.02,94,40,16.11,62.02
410,Magaria,NE,12.9983,8.9099,89.85,34,78,12.97,89.85
411,Alta Floresta,BR,-9.8756,-56.0861,78.62,69,0,2.3,78.62
412,Westport,US,41.1415,-73.3579,64.22,68,13,1.99,67.37
413,Iskateley,RU,67.6803,53.1512,34.95,86,29,8.55,34.95
414,Belmonte,BR,-15.8631,-38.8828,74.59,81,46,5.12,74.59
415,Talcahuano,CL,-36.7167,-73.1167,55.08,82,0,2.3,55.08
416,Agüimes,ES,27.9054,-15.4461,66.34,78,40,13.8,66.83
417,Pervomayskiy,RU,53.2485,40.2871,46.87,81,100,8.95,46.87
418,Adrar,MR,20.5022,-10.0711,88.09,13,47,7.02,88.09
419,Chipinge,ZW,-20.1883,32.6236,56.77,92,0,2.77,56.77
420,San Cristobal,VE,7.7669,-72.225,73.58,90,91,2.57,73.58
421,Gorontalo,ID,0.5412,123.0595,83.68,72,88,1.3,83.68
422,Benemérito de las Américas,MX,16.5167,-90.6439,84.4,45,22,2.17,84.4
423,Guangyuan,CN,32.442,105.823,68.16,75,78,1.5,68.16
424,Thinadhoo,MV,0.5333,72.9333,83.17,77,99,16.96,83.17
425,Sturgis,US,41.7992,-85.4192,81.79,57,0,6.91,82.42
426,Ancud,CL,-41.8697,-73.8203,49.3,85,100,13.42,49.3
427,São Miguel do Araguaia,BR,-13.275,-50.1628,75.61,48,40,2.06,75.61
428,Kānker,IN,20.2719,81.4931,77.04,80,88,3.89,77.04
429,Bichura,RU,50.5881,107.6022,41.68,41,90,5.93,41.68
430,Lagoa,PT,39.05,-27.9833,58.23,71,65,12.26,58.23
431,Nanyamba,TZ,-10.6833,39.8333,65.21,98,6,3.29,65.21
432,Judaberg,NO,59.1659,5.8732,47.48,91,86,21.25,48.22
433,Cañazas,PA,8.3167,-81.2167,78.69,84,57,0.47,78.69
434,Hokitika,NZ,-42.7167,170.9667,56.73,63,99,3.31,56.73
435,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,6.91,56.93
436,Egvekinot,RU,66.3167,-179.1667,29.66,100,99,7.81,29.66
437,Kirakira,SB,-10.4544,161.9205,83.41,76,100,3.15,83.41
438,Bonthe,SL,7.5264,-12.505,80.71,87,20,6.46,80.71
439,Sanchazi,CN,42.0817,126.6003,52.93,52,99,4.88,52.93
440,Kazachinskoye,RU,57.6953,93.2761,46.81,50,2,2.37,46.81
441,Bella Union,UY,-30.2752,-57.6007,54.79,88,5,7.11,54.79
442,Tuatapere,NZ,-46.1333,167.6833,55.81,67,66,3.33,55.81
443,Kunduz,AF,36.729,68.857,68.23,54,0,1.36,68.23
444,Hailar,CN,49.2,119.7,35.91,51,95,11.74,35.91
445,Nemuro,JP,43.3236,145.575,47.91,96,100,13.11,47.91
446,Hinton,CA,53.4001,-117.5857,55.06,35,93,5.44,55.06
447,Sitka,US,57.0531,-135.33,50.41,58,99,0.85,50.41
448,Ürümqi,CN,43.801,87.6005,61.75,48,0,4.47,61.75
449,Riyadh,SA,24.6877,46.7219,80.74,18,0,7.99,80.74
450,Guye,CN,39.7333,118.4167,53.56,76,100,7.76,53.56
451,Havøysund,NO,70.9963,24.6622,37.63,99,100,16.55,37.63
452,Trelew,AR,-43.249,-65.3051,51.91,73,100,19.46,51.91
453,Naze,JP,28.3667,129.4833,72.52,86,100,10.31,72.52
454,Kwang Binh,VN,17.4833,106.6,80.94,79,97,7.31,80.94
455,Arrifes,PT,37.7667,-25.7,57.45,67,40,13.8,57.45
456,Sarandi,BR,-23.4436,-51.8739,62.15,77,0,8.05,62.15
457,Puri,IN,19.8,85.85,79.32,83,37,12.82,79.32
458,Kodīnar,IN,20.7903,70.7031,82.29,73,60,10.69,82.29
459,Provincia di Pescara,IT,42.3333,13.95,56.1,75,17,7.34,64.56
460,Anloga,GH,5.7947,0.8973,82.9,80,79,12.01,82.9
461,Yeppoon,AU,-23.1333,150.7333,73.18,87,100,10.85,73.18
462,Zhigansk,RU,66.7697,123.3711,34.45,100,100,7.43,34.45
463,Luba,GQ,3.4568,8.5547,82.29,84,81,4.21,82.29
464,Lewisporte,CA,49.2499,-55.0482,56.91,42,40,13.29,56.91
465,Bubaque,GW,11.2833,-15.8333,77.45,78,49,15.66,77.45
466,Antofagasta,CL,-23.65,-70.4,60.08,85,13,3.6,60.08
467,Kamenka,RU,51.3223,42.7678,47.1,92,100,15.17,47.1
468,São João da Barra,BR,-21.6403,-41.0511,72.99,86,12,12.26,72.99
469,Santa Cruz de la Sierra,BO,-17.8,-63.1667,73.45,64,75,4.61,73.45
470,Tomatlán,MX,19.9333,-105.25,83.8,52,4,6.26,83.8
471,Beloha,MG,-25.1667,45.05,62.64,84,0,5.08,62.64
472,Mabaruma,GY,8.2,-59.7833,74.77,91,19,3.98,74.77
473,Wagar,SD,16.1525,36.2032,83.79,16,0,14.16,83.79
474,Brewster,US,41.3973,-73.6171,65.55,74,5,3.98,77.34
475,Dutlwe,BW,-23.9833,23.9,61.5,31,33,6.8,61.5
476,Vaitape,PF,-16.5167,-151.75,81.43,76,16,15.75,81.43
477,Razlog,BG,41.8863,23.4671,50.11,85,29,2.55,50.11
478,Svetlaya,RU,46.5389,138.3297,53.62,62,99,5.93,53.62
479,Palana,RU,59.1167,159.9667,38.12,70,25,6.4,38.12
480,Husavik,IS,66.0449,-17.3389,31.68,91,100,8.75,31.68
481,Quelimane,MZ,-17.8786,36.8883,71.55,88,0,2.3,71.55
482,Usinsk,RU,65.9939,57.5281,39.78,79,7,7.99,39.78
483,Freeport,US,40.6576,-73.5832,61.5,66,69,4.0,69.17
484,Sørland,NO,67.667,12.6934,42.66,87,94,6.11,42.66
485,Huarmey,PE,-10.0681,-78.1522,65.16,87,11,7.92,65.16
486,Ilfracombe,GB,51.2093,-4.1134,51.85,93,7,4.0,53.55
487,Pemangkat,ID,1.1667,108.9667,82.06,79,99,2.42,82.06
488,Korla,CN,41.7597,86.1469,68.76,32,27,17.0,68.76
489,Columbia,US,34.0007,-81.0348,77.45,37,0,8.05,80.6
490,Bathsheba,BB,13.2167,-59.5167,81.21,74,75,17.27,81.21
491,Praia da Vitória,PT,38.7333,-27.0667,59.25,77,75,12.82,59.76
492,Gaza,PS,31.5,34.4667,60.87,78,27,5.91,60.87
493,Necochea,AR,-38.5473,-58.7368,48.99,71,57,7.0,48.99
494,Mujiayingzi,CN,42.1167,118.7833,50.11,20,26,7.94,50.11
495,Choachí,CO,4.529,-73.9227,71.19,98,97,1.28,71.19
496,Semnan,IR,35.5729,53.3971,69.64,17,0,2.3,69.64
497,Yulara,AU,-25.2406,130.9889,51.64,46,92,6.91,51.64
498,Whitehorse,CA,60.7161,-135.0538,48.97,40,75,8.05,48.97
499,Taywarah,AF,33.35,64.4167,48.72,21,0,2.42,48.72
500,That Phanom,TH,16.9364,104.7104,77.29,88,99,3.87,77.29
501,Ortigueira,BR,-24.2083,-50.9494,53.44,96,1,1.72,53.44
502,Roebourne,AU,-20.7833,117.1333,75.25,43,61,6.29,75.25
503,Pangnirtung,CA,66.1451,-65.7125,17.4,89,18,3.06,17.4
504,Fort Nelson,CA,58.8053,-122.7002,45.99,66,75,2.3,45.99
505,Londoko,RU,49.0333,131.9833,51.6,48,6,7.74,51.6
506,Carnot,CF,4.9409,15.8665,66.99,93,86,1.43,66.99
507,Saint Anthony,US,45.0205,-93.218,73.67,74,20,20.71,76.24
508,Cabedelo,BR,-6.9811,-34.8339,79.48,79,99,8.25,79.48
509,Marawi,PH,7.9986,124.2928,75.47,83,87,0.74,75.47
510,Itarema,BR,-2.9248,-39.9167,76.8,88,90,9.78,76.8
511,Batticaloa,LK,7.7102,81.6924,80.08,62,96,5.17,80.08
512,Baruun-Urt,MN,46.6806,113.2792,35.47,39,13,15.21,35.47
513,Los Llanos de Aridane,ES,28.6585,-17.9182,63.12,88,100,6.91,64.15
514,Lexington,US,37.9887,-84.4777,76.66,78,2,7.09,82.29
515,Timizart,DZ,36.8,4.2667,59.83,66,2,6.46,59.83
516,Concepción del Uruguay,AR,-32.4825,-58.2372,54.99,84,18,1.01,54.99
517,Brisbane,AU,-27.4679,153.0281,69.75,94,75,13.8,71.49
518,Brainerd,US,46.358,-94.2008,58.96,92,100,12.95,66.45
519,Touros,BR,-5.1989,-35.4608,75.74,91,100,9.84,75.74
520,Calvinia,ZA,-31.4707,19.776,49.69,54,0,1.7,49.69
521,Chake Chake,TZ,-5.2459,39.7666,77.79,76,50,11.99,77.79
522,Khandyga,RU,62.6667,135.6,32.97,96,37,2.75,32.97
523,Hofn,IS,64.2539,-15.2082,40.82,59,100,8.81,40.82
524,Bedford,GB,52.1346,-0.4663,45.72,87,1,7.47,49.1
525,Kyren,RU,51.6828,102.1408,40.69,35,4,2.84,40.69
526,Bossangoa,CF,6.4926,17.4552,73.15,81,80,5.39,73.15
527,Cedro,BR,-6.6067,-39.0622,74.89,65,67,1.03,74.89
528,City of San Pedro,PH,14.35,121.0167,86.47,67,75,7.52,88.32
529,Tiznit Province,MA,29.5833,-9.5,83.59,19,98,6.64,83.59
530,Charter Township of Clinton,US,42.587,-82.9199,74.32,44,80,7.36,80.92
531,Baker,US,30.5882,-91.1682,86.7,83,0,4.0,88.83
532,Altamira,BR,-3.2033,-52.2064,74.35,89,95,2.84,74.35
533,Sept-Îles,CA,50.2001,-66.3821,49.05,60,92,4.68,49.05
534,Simao,CN,22.7886,100.9748,66.99,95,98,1.83,66.99
535,Penzance,GB,50.1186,-5.5371,50.68,85,0,16.11,50.68
536,Shubarshi,KZ,48.5872,57.1869,51.13,56,84,7.85,51.13
537,Urusha,RU,54.05,122.9,33.46,77,100,4.81,33.46
538,Muros,ES,42.7762,-9.0603,59.45,79,100,7.87,60.1
539,Binga,ZW,-17.6203,27.3414,66.78,55,0,2.21,66.78
540,Santa Cruz de Tenerife,ES,28.4682,-16.2546,67.87,87,100,19.57,69.62
541,Ambovombe,MG,-25.1667,46.0833,66.43,78,18,5.17,66.43
542,Sanmenxia,CN,34.7747,111.1814,61.14,68,38,12.93,61.14
543,Balsas,BR,-7.5325,-46.0356,80.51,56,100,3.36,80.51
544,Southbridge,US,42.0751,-72.0334,64.24,82,11,6.44,64.24
545,Traralgon,AU,-38.1833,146.5333,56.52,80,100,1.72,56.52
546,Tianpeng,CN,30.9866,103.9393,68.05,83,100,7.23,68.05
547,Nosy Varika,MG,-20.5833,48.5333,70.79,85,75,7.05,70.79
548,Oktyabr'skoye,RU,43.0645,44.7417,44.35,87,100,4.47,44.74
549,Dzerzhinskoye,RU,56.8344,95.2283,47.97,44,11,3.13,47.97
550,Kurumkan,RU,54.3,110.3,41.85,50,72,2.39,41.85
551,Davila,PH,18.4726,120.5763,84.24,69,17,5.28,84.24
552,Bintulu,MY,3.1667,113.0333,79.16,91,95,4.83,79.16
553,Blackfoot,US,43.1905,-112.345,60.55,30,12,8.57,63.57
554,Benghazi,LY,32.1167,20.0667,65.84,66,77,13.62,65.84
555,Bonoua,CI,5.2741,-3.595,73.02,86,99,5.14,73.02
556,Honningsvåg,NO,70.9821,25.9704,37.15,87,100,20.71,37.15
557,Lata,PT,40.1629,-8.3327,55.62,81,100,3.15,55.62
558,Poço Verde,BR,-10.7083,-38.1833,70.18,92,41,4.43,70.18
559,La Santisima Trinidad,BO,-14.8333,-64.9,69.39,97,96,5.66,69.39
560,Caloundra,AU,-26.8,153.1333,72.12,87,100,18.66,72.12
561,Falam,MM,22.9167,93.6833,62.73,95,65,3.96,62.73
562,Azogues,EC,-2.7333,-78.8333,55.38,87,95,4.61,55.38
563,Shelburne,CA,44.0787,-80.2041,66.6,77,7,5.79,66.6
564,Chatrā,IN,24.2167,84.8667,76.93,74,2,7.49,76.93
565,Chetwayi,IN,10.5333,76.05,78.89,83,98,1.81,78.89
566,Mahajanga,MG,-15.7167,46.3167,68.02,94,0,4.61,68.02
567,Batagay-Alyta,RU,67.8006,130.4114,31.91,87,84,3.38,31.91
568,Pāvilosta,LV,56.8879,21.1859,49.91,92,98,12.21,49.91
569,Cuamba,MZ,-14.8031,36.5372,60.71,94,0,2.53,60.71
570,Palmer,US,42.1584,-72.3287,67.35,48,20,5.75,72.77
571,Bilma,NE,18.6853,12.9164,92.05,16,37,15.79,92.05
572,Asunción Nochixtlán,MX,17.4667,-97.2333,67.55,36,11,14.52,67.55
